gameId	code	displayName	category	family	regionScope	provinceCode	cityCode	version	enabled	sourceModule
269	llfymj	LLFYMJ	MAHJONG	mahjong-standard	PROVINCE	shanxisheng		1.0.0	0	LLFYMJ
561	lnjzmj	LNJZMJ	MAHJONG	mahjong-lai-zi	PROVINCE	liaoning		1.0.0	1	LNJZMJ
289	lnmj	LNMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangxi		1.0.0	0	LNMJ
466	lnsymj	LNSYMJ	MAHJONG	mahjong-lai-zi	PROVINCE	liaoning		1.0.0	1	LNSYMJ
45	lpmj	LPMJ	MAHJONG	mahjong-lai-zi	PROVINCE	jiangxi		1.0.0	1	LPMJ
110	lppdk	LPPDK	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	1	LPPDK
262	lpsmj	LPSMJ	MAHJONG	mahjong-standard	PROVINCE	guizhou		1.0.0	0	LPSMJ
109	lpts	LPTS	POKER	poker-pao-de-kuai	PROVINCE	jiangxi		1.0.0	0	LPTS
218	ls13579	LS13579	MAHJONG	mahjong-lai-zi	PROVINCE	henan		1.0.0	0	LS13579
219	lskjjmj	LSKJJMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	LSKJJMJ
217	lslwzmj	LSLWZMJ	MAHJONG	mahjong-lai-zi	PROVINCE	henan		1.0.0	0	LSLWZMJ
230	lsmj	LSMJ	MAHJONG	mahjong-standard	PROVINCE	jiangsu		1.0.0	0	LSMJ
538	lsxzmj	LSXZMJ	MAHJONG	mahjong-standard	PROVINCE	jiangxi		1.0.0	1	LSXZMJ
526	lsyjmj	LSYJMJ	MAHJONG	mahjong-xue-zhan	PROVINCE	sichuan		1.0.0	1	LSYJMJ
524	lwmj	LWMJ	MAHJONG	mahjong-lai-zi	PROVINCE	shandong		1.0.0	1	LWMJ
208	lxmj	LXMJ	MAHJONG	mahjong-lai-zi	PROVINCE	gansu		1.0.0	0	LXMJ
304	lygcmj	LYGCMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	LYGCMJ
167	lygmj	LYGMJ	MAHJONG	mahjong-standard	PROVINCE	jiangsu		1.0.0	0	LYGMJ
3	lymj	LYMJ	MAHJONG	mahjong-standard	PROVINCE	fujian		1.0.0	1	LYMJ
135	lzmj	LZMJ	MAHJONG	mahjong-lai-zi	PROVINCE	guangxi		1.0.0	1	LZMJ
525	lzxzmj	LZXZMJ	MAHJONG	mahjong-xue-zhan	PROVINCE	guangxi		1.0.0	1	LZXZMJ
272	masmj	MASMJ	MAHJONG	mahjong-standard	PROVINCE	anhui		1.0.0	0	MASMJ
271	mmmj	MMMJ	MAHJONG	mahjong-lai-zi	PROVINCE	guangdong		1.0.0	0	MMMJ
900003	msmj	MSMJ	MAHJONG	mahjong-xue-zhan	PROVINCE	unpublished		1.0.0	0	MSMJ
375	mymj	MYMJ	MAHJONG	mahjong-standard	PROVINCE	sichuan		1.0.0	0	MYMJ
308	mzmj	MZMJ	MAHJONG	mahjong-standard	PROVINCE	henan		1.0.0	0	MZMJ
17	namj	NAMJ	MAHJONG	mahjong-standard	PROVINCE	fujian		1.0.0	1	NAMJ
