module	javaFiles	category	family	evidenceScores
HZJDMJ	109	MAHJONG	mahjong-standard	MAHJONG:320,POKER:0,LONG_CARD:0,WORD_CARD:0
HZMJ	85	MAHJONG	mahjong-standard	MAHJONG:281,POKER:0,LONG_CARD:0,WORD_CARD:0
HZWMJ	96	MAHJONG	mahjong-lai-zi	MAHJONG:777,POKER:0,LONG_CARD:0,WORD_CARD:0
JAMJ	110	MAHJONG	mahjong-lai-zi	MAHJONG:567,POKER:0,LONG_CARD:0,WORD_CARD:6
JAPDK	106	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:180,LONG_CARD:0,WORD_CARD:0
JAWZ	113	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:265,LONG_CARD:0,WORD_CARD:0
JAYXDDZ	107	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:116,LONG_CARD:0,WORD_CARD:0
JAYXMJ	120	MAHJONG	mahjong-lai-zi	MAHJONG:456,POKER:0,LONG_CARD:0,WORD_CARD:0
JCAHMJ	99	MAHJONG	mahjong-standard	MAHJONG:349,POKER:0,LONG_CARD:0,WORD_CARD:0
JCHHMJ	97	MAHJONG	mahjong-standard	MAHJONG:296,POKER:0,LONG_CARD:0,WORD_CARD:0
JCMJ	106	MAHJONG	mahjong-lai-zi	MAHJONG:488,POKER:0,LONG_CARD:0,WORD_CARD:0
JDMJ	129	MAHJONG	mahjong-lai-zi	MAHJONG:494,POKER:0,LONG_CARD:0,WORD_CARD:19
JDZMJ	122	MAHJONG	mahjong-lai-zi	MAHJONG:565,POKER:0,LONG_CARD:0,WORD_CARD:0
JDZPDK	95	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:148,LONG_CARD:0,WORD_CARD:0
JDZTS	107	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:210,LONG_CARD:0,WORD_CARD:0
JJMJ	129	MAHJONG	mahjong-standard	MAHJONG:531,POKER:0,LONG_CARD:0,WORD_CARD:0
JLMJ	100	MAHJONG	mahjong-standard	MAHJONG:439,POKER:0,LONG_CARD:0,WORD_CARD:0
JLPK	127	POKER	poker-sheng-ji	MAHJONG:328,POKER:221,LONG_CARD:4,WORD_CARD:0
JMGGHMJ	107	MAHJONG	mahjong-lai-zi	MAHJONG:552,POKER:0,LONG_CARD:0,WORD_CARD:0
JMHHMJ	96	MAHJONG	mahjong-lai-zi	MAHJONG:413,POKER:0,LONG_CARD:0,WORD_CARD:0
JMJSMJ	116	MAHJONG	mahjong-lai-zi	MAHJONG:449,POKER:0,LONG_CARD:0,WORD_CARD:2
JMSKMJ	95	MAHJONG	mahjong-lai-zi	MAHJONG:322,POKER:0,LONG_CARD:0,WORD_CARD:0
JNMJ	90	MAHJONG	mahjong-standard	MAHJONG:401,POKER:0,LONG_CARD:0,WORD_CARD:0
JSCZMJ	96	MAHJONG	mahjong-lai-zi	MAHJONG:412,POKER:0,LONG_CARD:0,WORD_CARD:0
JSGYMJ	98	MAHJONG	mahjong-lai-zi	MAHJONG:427,POKER:0,LONG_CARD:0,WORD_CARD:0
JSHAMJ	118	MAHJONG	mahjong-standard	MAHJONG:432,POKER:0,LONG_CARD:0,WORD_CARD:0
JSMJ	118	MAHJONG	mahjong-lai-zi	MAHJONG:452,POKER:0,LONG_CARD:0,WORD_CARD:0
JSNYZMJ	99	MAHJONG	mahjong-lai-zi	MAHJONG:365,POKER:0,LONG_CARD:0,WORD_CARD:0
JSSNMJ	118	MAHJONG	mahjong-lai-zi	MAHJONG:422,POKER:0,LONG_CARD:0,WORD_CARD:0
JSSQMJ	111	MAHJONG	mahjong-standard	MAHJONG:479,POKER:0,LONG_CARD:0,WORD_CARD:0
JSTDHMJ	98	MAHJONG	mahjong-tui-dao-hu	MAHJONG:420,POKER:0,LONG_CARD:0,WORD_CARD:0
JSXYMJ	97	MAHJONG	mahjong-tui-dao-hu	MAHJONG:287,POKER:0,LONG_CARD:4,WORD_CARD:0
JSYCMJ	101	MAHJONG	mahjong-standard	MAHJONG:462,POKER:0,LONG_CARD:0,WORD_CARD:0
JSYZMJ	90	MAHJONG	mahjong-standard	MAHJONG:331,POKER:0,LONG_CARD:0,WORD_CARD:0
JTMJ	105	MAHJONG	mahjong-standard	MAHJONG:397,POKER:1,LONG_CARD:0,WORD_CARD:0
JTPDK	108	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:215,LONG_CARD:0,WORD_CARD:0
JXFZGP	130	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:612,LONG_CARD:0,WORD_CARD:0
JXFZMJ	94	MAHJONG	mahjong-standard	MAHJONG:332,POKER:0,LONG_CARD:0,WORD_CARD:0
JXFZPDK	102	POKER	poker-pao-de-kuai	MAHJONG:1,POKER:148,LONG_CARD:0,WORD_CARD:0
JXHS	112	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:158,LONG_CARD:0,WORD_CARD:0
JXMJ	103	MAHJONG	mahjong-lai-zi	MAHJONG:499,POKER:0,LONG_CARD:0,WORD_CARD:0
JXNDMJ	112	MAHJONG	mahjong-standard	MAHJONG:350,POKER:0,LONG_CARD:0,WORD_CARD:0
JXNDPDK	106	POKER	poker-pao-de-kuai	MAHJONG:2,POKER:176,LONG_CARD:0,WORD_CARD:0
JXXYMJ	107	MAHJONG	mahjong-standard	MAHJONG:273,POKER:0,LONG_CARD:0,WORD_CARD:0
JXYZ	122	POKER	poker-pao-de-kuai	MAHJONG:0,POKER:224,LONG_CARD:0,WORD_CARD:0
JYESSZ	118	MAHJONG	mahjong-lai-zi	MAHJONG:283,POKER:1,LONG_CARD:0,WORD_CARD:0
JYMJ	96	MAHJONG	mahjong-lai-zi	MAHJONG:397,POKER:0,LONG_CARD:0,WORD_CARD:0
JZMJ	103	MAHJONG	mahjong-standard	MAHJONG:337,POKER:0,LONG_CARD:0,WORD_CARD:0
JZWZMJ	111	MAHJONG	mahjong-xue-liu	MAHJONG:462,POKER:0,LONG_CARD:0,WORD_CARD:0
